Agreement    hợp đồng, giao kèo
Agree    đồng ý, tán thành
Assurance    sự chắn chắn
determine    quyết định, xác định
engage    tham gia, hứa hẹn
establish    thiết lập, xác minh
obligate    bắt buộc
party    buổi tiệc
provision    sự dự trữ, điều khoản
resolve    giải quyết
specific    riêng biệt, đặc trưng
attract    hấp dẫn, lôi cuốn
compare    so sánh, đối chiếu
consume    tiêu thụ
convince    thuyết phục
currently    hiện thời, hiện nay
fad    sự thích thú tạm thời
market    thị trường, chợ
persuasion    sự thuyết phục
consider    cân nhắc, suy xét
